test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib
0.1,1,False,2,True,True,False,Softmax
0.1,1,False,2,True,True,True,Softmax
0.1,1,False,2,False,False,True,Softmax
0.1,1,False,2,False,False,True,Softmax
0.1,1,False,2,True,False,True,Softmax
0.1,1,False,2,False,False,True,Softmax
0.1,1,False,2,False,False,True,Softmax
0.1,1,False,2,False,False,True,Softmax
0.1,1,False,2,True,True,True,Softmax
0.1,1,False,2,True,True,True,Softmax
0.1,1,False,2,True,False,True,Softmax
0.1,1,False,2,True,True,True,Softmax
0.1,1,False,2,True,True,True,Softmax
0.1,1,False,2,True,False,True,Softmax
0.1,1,False,2,True,False,True,Softmax
0.1,1,False,2,True,False,True,Softmax
0.1,1,False,2,False,True,True,Softmax
0.1,1,False,2,False,True,True,Softmax
0.1,1,False,2,False,True,True,Softmax
0.1,1,False,2,True,True,False,Softmax
0.1,1,False,2,True,True,False,Softmax
0.1,1,False,2,True,True,False,Softmax
0.1,1,False,2,False,True,True,Softmax
0.1,1,False,2,False,True,True,Softmax
0.1,1,True,1,True,True,False,Softmax
0.1,1,False,1,True,True,True,Softmax
0.1,1,True,1,True,True,False,Softmax
0.1,1,True,1,True,True,False,Softmax
0.1,1,True,1,True,True,True,Softmax
0.1,1,True,1,True,True,False,Softmax
0.1,1,True,1,True,True,True,Softmax
0.1,1,True,1,True,False,True,Softmax
0.1,1,True,1,True,True,False,Softmax
0.1,1,True,1,True,True,True,Softmax
0.1,1,True,1,True,False,True,Softmax
0.1,1,True,1,False,False,True,Softmax
0.1,1,False,2,True,True,False,Softmax
0.1,1,False,1,True,True,True,Softmax
0.1,1,True,1,True,True,True,Softmax
0.1,1,True,1,True,True,True,Softmax
0.1,1,False,1,True,True,True,Softmax
0.1,1,True,1,False,False,True,Softmax
0.1,1,False,1,True,True,True,Softmax
0.1,1,False,1,True,True,True,Softmax
0.1,1,True,1,True,False,True,Softmax
0.1,1,False,1,False,False,True,Softmax
0.1,1,False,1,False,False,True,Softmax
0.1,1,True,1,True,False,True,Softmax
0.1,1,False,1,False,False,True,Softmax
0.1,1,False,1,True,False,True,Softmax
0.1,1,False,1,False,False,True,Softmax
0.1,1,False,1,True,False,True,Softmax
0.1,1,False,1,False,True,True,Softmax
0.1,1,False,1,True,False,True,Softmax
0.1,1,True,1,True,False,True,Softmax
0.1,1,False,1,True,True,False,Softmax
0.1,1,False,1,False,True,True,Softmax
0.1,1,False,1,True,False,True,Softmax
0.1,1,False,1,False,True,True,Softmax
0.1,1,False,1,False,False,True,Softmax
0.1,1,True,1,False,True,True,Softmax
0.1,1,True,1,False,True,True,Softmax
0.1,1,True,1,False,False,True,Softmax
0.1,1,True,1,False,False,True,Softmax
0.1,1,True,1,False,True,True,Softmax
0.1,1,False,1,False,True,True,Softmax
0.1,1,True,1,False,True,True,Softmax
0.1,1,False,1,False,True,True,Softmax
0.1,1,True,1,False,True,True,Softmax
0.1,1,False,1,True,True,False,Softmax
0.1,1,True,1,False,False,True,Softmax
